Setting,year,onion_yield,first5_sum,last5_sum,growth,std_dev,cagr
Kurdamir district,2009,75.0,310.0,707.5999999999999,397.5999999999999,32.310517872937154,0.06394665145966805
Ujar district,2009,68.0,266.0,498.7,232.7,20.093628217112414,0.04938336770303975
Yevlakh district,2009,126.0,435.0,426.7,-8.300000000000011,20.401768447786615,0.006997997758389829
Zardab district,2009,154.0,556.0,1075.6,519.5999999999999,43.61131684003292,0.05012151978198909
Mil-Mughan economic region,2009,,0.0,1407.5,1407.5,66.16499761271747,
Beylagan district,2009,108.0,448.0,1843.3,1395.3,108.92274477679189,0.06577241529602018
Imishli district,2009,104.0,436.0,658.0,222.0,19.12537581330103,0.023338982756220483
Saatli district,2009,88.0,311.0,651.9,340.9,44.66901931128424,0.04281491007098337
Sabirabad district,2009,114.0,456.0,731.5,275.5,21.582769143764743,0.02040336097737061
Shaki-Zagatala economic region,2009,107.0,430.0,556.4,126.39999999999998,10.010353336073782,0.010410424655590056
Balakan district,2009,92.0,556.0,566.1,10.100000000000023,21.34305329405902,-0.01388460395705493
Gakh district,2009,111.0,462.0,588.6,126.60000000000002,10.273012343450954,0.01139804291740254
Gabala district,2009,55.0,150.0,477.6,327.6,27.761009044852923,0.04987810991856079
Oghuz district,2009,78.0,351.0,569.0999999999999,218.0999999999999,25.778892261536065,0.008383410219044096
Shaki district,2009,196.0,753.0,1331.0,578.0,42.58961566296227,0.04397932964712159
Zagatala district,2009,63.0,382.0,314.4,-67.60000000000002,6.8293908740198,-0.013935613449717055
Eastern Zangazur economic region,2009,,0.0,759.2,759.2,22.057317525262594,
Jabrayil district,2009,110.0,0.0,784.6,784.6,20.480751125548757,
Lachin district,2009,175.0,0.0,829.0,829.0,108.6045604449949,
Zangilan district,2009,,0.0,143.2,143.2,25.604473195499406,
Shirvan-Salyan economic region,2009,,0.0,693.4000000000001,693.4000000000001,19.70412508726397,
Shirvan city,2009,,40.0,58.2,18.200000000000003,11.370149256612557,
Bilasuvar district,2009,129.0,490.0,757.7,267.70000000000005,49.49370604840374,0.01928055704492615
Hajigabul district,2009,,405.0,245.39999999999998,-159.60000000000002,66.4559336034873,-0.06212908071134038
Neftchala district,2009,96.0,271.0,300.0,29.0,17.707494524038136,0.021728907499155348
Salyan district,2009,44.0,285.0,876.8000000000001,591.8000000000001,53.98386433644457,0.06246273325049212
Republic of Azerbaijan,2010,134.0,525.0,1239.6,714.5999999999999,53.248637459604055,0.04734757363927966
Baku city,2010,134.0,309.0,461.8,152.8,61.365081771880384,0.01573075458094797
Nakhchivan Autonomous Republic,2010,109.0,463.0,828.4000000000001,365.4000000000001,39.547176010870636,0.059550486726812624
Nakhchivan city,2010,39.0,0.0,204.2,204.2,14.194830136862471,
Babak district,2010,166.0,466.0,611.9,145.89999999999998,39.32077091515779,0.04404880571974212
Julfa district,2010,23.0,450.0,430.2,-19.80000000000001,34.68312353250518,0.0034466792535052804
Kangarli district,2010,193.0,99.0,729.5,630.5,31.638981203239577,
Ordubad district,2010,62.0,251.0,417.9,166.89999999999998,13.95356624198865,0.02245828366300695
Sadarak district,2010,105.0,569.0,390.9,-178.10000000000002,54.41127583879832,0.028884331696751753
Shahbuz district,2010,101.0,210.0,382.1,172.10000000000002,32.54487175479775,0.03718560723880926
Sharur district,2010,190.0,548.0,1100.1,552.0999999999999,62.493504445070826,0.04500210035402841
Absheron-Khizi economic region,2010,83.0,280.0,605.8,325.79999999999995,25.460880763935922,0.06356782564761532
Sumgayit city,2010,,198.0,0.0,-198.0,21.242645786248,
Absheron district,2010,88.0,372.0,605.8,233.79999999999995,24.169186275449807,0.03590495661923154
Khizi district,2010,77.0,265.0,0.0,-265.0,12.972696314691198,
Daghlig Shirvan economic region,2010,81.0,479.0,500.3,21.30000000000001,8.57104896933757,-0.0018709108878679492
Aghsu district,2010,70.0,345.0,516.4,171.39999999999998,15.03025692356607,0.02160175618988469
Ismayilli district,2010,94.0,640.0,521.6,-118.39999999999998,15.983222634910064,-0.01708776598843864
Gobustan district,2010,27.0,129.0,232.29999999999998,103.29999999999998,8.234197645767633,0.023859506982810696
Shamakhi district,2010,91.0,581.0,366.53,-214.47000000000003,19.84978063161375,-0.03633781001630987
Ganja-Dashkasan economic region,2010,,0.0,636.0999999999999,636.0999999999999,22.274841087077263,
Ganja city,2010,86.0,158.0,264.2,106.19999999999999,34.345983021419,
Naftalan city,2010,,0.0,10.0,10.0,35.4911122341784,
Goranboy district,2010,133.0,266.0,521.9,255.89999999999998,31.19201838402839,0.12711671792818335
Goygol district,2010,73.0,279.0,571.0,292.0,26.56075753023076,0.032671403771543206
Samukh district,2010,99.0,415.0,781.3,366.29999999999995,30.447516914058593,0.02859630417899295
Karabakh economic region,2010,,0.0,1615.2,1615.2,80.92256568080153,
Aghjabadi district,2010,138.0,722.0,2195.2999999999997,1473.2999999999997,125.02804663615349,0.05466719493611527
Aghdam district,2010,185.0,600.0,1406.6999999999998,806.6999999999998,60.86772767024518,0.07377042993101357
Barda district,2010,122.0,526.0,2114.2,1588.1999999999998,126.22560892238185,0.06709938623264766
Fuzuli district,2010,85.0,356.0,733.7,377.70000000000005,42.80253933107714,0.09430943959034077
Khojaly district,2010,,0.0,910.0,910.0,85.0626566452962,
Khojavand district,2010,90.0,400.0,1168.9,768.9000000000001,70.0124045686067,0.05464859639961417
Shusha district,2010,38.0,60.0,984.4,924.4,79.74063163364919,
Tartar district,2010,130.0,515.0,943.3,428.29999999999995,34.80586922644938,0.04477005967821923
Gazakh-Tovuz economic region,2010,,0.0,1297.4,1297.4,42.1009047624654,
Aghstafa district,2010,120.0,503.0,1021.5,518.5,55.849269032363125,0.03759835642065856
Gadabay district,2010,,370.0,453.0,83.0,94.67188952728611,
Gazakh district,2010,154.0,675.0,1450.0,775.0,65.81692604203867,0.03879756644698329
Shamkir district,2010,181.0,788.0,1316.6999999999998,528.6999999999998,39.09382781448251,0.030235698008254763
Tovuz district,2010,160.0,528.0,1140.6999999999998,612.6999999999998,45.05568032679281,0.040799293343634524
Guba-Khachmaz economic region,2010,161.0,688.0,834.5,146.5,14.589423779981308,0.013554562150187355
Khachmaz district,2010,211.0,906.0,1194.9,288.9000000000001,23.068847414088395,0.014059041344082868
Guba district,2010,105.0,412.0,531.0,119.0,10.930541575349082,0.017325893103010026
Gusar district,2010,152.0,662.0,833.3,171.29999999999995,21.022551297201733,0.02219604687322052
Siyazan district,2010,62.0,346.0,545.4,199.39999999999998,41.665667234390426,0.014215795846207246
Shabran district,2010,42.0,388.0,434.7,46.69999999999999,29.427161058637893,-0.011701332839504697
Lankaran-Astara economic region,2010,139.0,611.0,670.9,59.89999999999998,7.341453425977522,0.0035402795788510577
Astara district,2010,108.0,805.0,548.7,-256.29999999999995,32.53138924534094,-0.03509615298405655
Jalilabad district,2010,97.0,407.0,652.2,245.20000000000005,33.656650827548724,0.00906867194780192
Lerik district,2010,130.0,628.0,644.7,16.700000000000045,11.082810001810545,0.012233366084389186
Lankaran district,2010,165.0,731.0,763.3,32.299999999999955,10.396256816619212,0.0023838841357883833
Masalli district,2010,154.0,724.0,876.5,152.5,17.012922944087215,0.015624882959974995
Yardimli district,2010,121.0,446.0,641.9999999999999,195.9999999999999,25.491110982662857,0.012493688629332533
Central Aran economic region,2010,,0.0,560.4,560.4,5.813510909158861,
Mingachevir city,2010,6.0,354.0,54.0,-300.0,48.11406407751621,
Agdash district,2010,111.0,440.0,462.59999999999997,22.599999999999966,15.07923757346841,0.00680801028831679
Goychay district,2010,238.0,768.0,715.9999999999999,-52.000000000000114,44.98276642629173,0.00739549596839395
Kurdamir district,2010,75.0,310.0,707.5999999999999,397.5999999999999,32.310517872937154,0.06394665145966805
Ujar district,2010,73.0,266.0,498.7,232.7,20.093628217112414,0.04938336770303975
Yevlakh district,2010,126.0,435.0,426.7,-8.300000000000011,20.401768447786615,0.006997997758389829
Zardab district,2010,157.0,556.0,1075.6,519.5999999999999,43.61131684003292,0.05012151978198909
Mil-Mughan economic region,2010,,0.0,1407.5,1407.5,66.16499761271747,
Beylagan district,2010,156.0,448.0,1843.3,1395.3,108.92274477679189,0.06577241529602018
Imishli district,2010,108.0,436.0,658.0,222.0,19.12537581330103,0.023338982756220483
Saatli district,2010,93.0,311.0,651.9,340.9,44.66901931128424,0.04281491007098337
Sabirabad district,2010,114.0,456.0,731.5,275.5,21.582769143764743,0.02040336097737061
Shaki-Zagatala economic region,2010,99.0,430.0,556.4,126.39999999999998,10.010353336073782,0.010410424655590056
Balakan district,2010,86.0,556.0,566.1,10.100000000000023,21.34305329405902,-0.01388460395705493
Gakh district,2010,111.0,462.0,588.6,126.60000000000002,10.273012343450954,0.01139804291740254
Gabala district,2010,54.0,150.0,477.6,327.6,27.761009044852923,0.04987810991856079
Oghuz district,2010,72.0,351.0,569.0999999999999,218.0999999999999,25.778892261536065,0.008383410219044096
Shaki district,2010,196.0,753.0,1331.0,578.0,42.58961566296227,0.04397932964712159
Zagatala district,2010,63.0,382.0,314.4,-67.60000000000002,6.8293908740198,-0.013935613449717055
Eastern Zangazur economic region,2010,,0.0,759.2,759.2,22.057317525262594,
Jabrayil district,2010,140.0,0.0,784.6,784.6,20.480751125548757,
Lachin district,2010,121.0,0.0,829.0,829.0,108.6045604449949,
Zangilan district,2010,,0.0,143.2,143.2,25.604473195499406,
Shirvan-Salyan economic region,2010,,0.0,693.4000000000001,693.4000000000001,19.70412508726397,
Shirvan city,2010,23.0,40.0,58.2,18.200000000000003,11.370149256612557,
Bilasuvar district,2010,187.0,490.0,757.7,267.70000000000005,49.49370604840374,0.01928055704492615
Hajigabul district,2010,,405.0,245.39999999999998,-159.60000000000002,66.4559336034873,-0.06212908071134038
Neftchala district,2010,77.0,271.0,300.0,29.0,17.707494524038136,0.021728907499155348
Salyan district,2010,46.0,285.0,876.8000000000001,591.8000000000001,53.98386433644457,0.06246273325049212
Republic of Azerbaijan,2011,140.0,525.0,1239.6,714.5999999999999,53.248637459604055,0.04734757363927966
Baku city,2011,150.0,309.0,461.8,152.8,61.365081771880384,0.01573075458094797
Nakhchivan Autonomous Republic,2011,108.0,463.0,828.4000000000001,365.4000000000001,39.547176010870636,0.059550486726812624
Nakhchivan city,2011,38.0,0.0,204.2,204.2,14.194830136862471,
Babak district,2011,157.0,466.0,611.9,145.89999999999998,39.32077091515779,0.04404880571974212
Julfa district,2011,23.0,450.0,430.2,-19.80000000000001,34.68312353250518,0.0034466792535052804
Kangarli district,2011,194.0,99.0,729.5,630.5,31.638981203239577,
Ordubad district,2011,62.0,251.0,417.9,166.89999999999998,13.95356624198865,0.02245828366300695
Sadarak district,2011,105.0,569.0,390.9,-178.10000000000002,54.41127583879832,0.028884331696751753
Shahbuz district,2011,101.0,210.0,382.1,172.10000000000002,32.54487175479775,0.03718560723880926
Sharur district,2011,191.0,548.0,1100.1,552.0999999999999,62.493504445070826,0.04500210035402841
Absheron-Khizi economic region,2011,79.0,280.0,605.8,325.79999999999995,25.460880763935922,0.06356782564761532
Sumgayit city,2011,,198.0,0.0,-198.0,21.242645786248,
Absheron district,2011,86.0,372.0,605.8,233.79999999999995,24.169186275449807,0.03590495661923154
Khizi district,2011,73.0,265.0,0.0,-265.0,12.972696314691198,
Daghlig Shirvan economic region,2011,76.0,479.0,500.3,21.30000000000001,8.57104896933757,-0.0018709108878679492
Aghsu district,2011,61.0,345.0,516.4,171.39999999999998,15.03025692356607,0.02160175618988469
Ismayilli district,2011,98.0,640.0,521.6,-118.39999999999998,15.983222634910064,-0.01708776598843864
Gobustan district,2011,31.0,129.0,232.29999999999998,103.29999999999998,8.234197645767633,0.023859506982810696
Shamakhi district,2011,95.0,581.0,366.53,-214.47000000000003,19.84978063161375,-0.03633781001630987
Ganja-Dashkasan economic region,2011,,0.0,636.0999999999999,636.0999999999999,22.274841087077263,
Ganja city,2011,87.0,158.0,264.2,106.19999999999999,34.345983021419,
Naftalan city,2011,83.0,0.0,10.0,10.0,35.4911122341784,
Goranboy district,2011,132.0,266.0,521.9,255.89999999999998,31.19201838402839,0.12711671792818335
Goygol district,2011,98.0,279.0,571.0,292.0,26.56075753023076,0.032671403771543206
Samukh district,2011,97.0,415.0,781.3,366.29999999999995,30.447516914058593,0.02859630417899295
Karabakh economic region,2011,,0.0,1615.2,1615.2,80.92256568080153,
Aghjabadi district,2011,136.0,722.0,2195.2999999999997,1473.2999999999997,125.02804663615349,0.05466719493611527
Aghdam district,2011,186.0,600.0,1406.6999999999998,806.6999999999998,60.86772767024518,0.07377042993101357
Barda district,2011,135.0,526.0,2114.2,1588.1999999999998,126.22560892238185,0.06709938623264766
Fuzuli district,2011,90.0,356.0,733.7,377.70000000000005,42.80253933107714,0.09430943959034077
Khojaly district,2011,,0.0,910.0,910.0,85.0626566452962,
Khojavand district,2011,112.0,400.0,1168.9,768.9000000000001,70.0124045686067,0.05464859639961417
Shusha district,2011,42.0,60.0,984.4,924.4,79.74063163364919,
Tartar district,2011,134.0,515.0,943.3,428.29999999999995,34.80586922644938,0.04477005967821923
Gazakh-Tovuz economic region,2011,,0.0,1297.4,1297.4,42.1009047624654,
Aghstafa district,2011,131.0,503.0,1021.5,518.5,55.849269032363125,0.03759835642065856
Gadabay district,2011,,370.0,453.0,83.0,94.67188952728611,
Gazakh district,2011,188.0,675.0,1450.0,775.0,65.81692604203867,0.03879756644698329
Shamkir district,2011,184.0,788.0,1316.6999999999998,528.6999999999998,39.09382781448251,0.030235698008254763
Tovuz district,2011,166.0,528.0,1140.6999999999998,612.6999999999998,45.05568032679281,0.040799293343634524
Guba-Khachmaz economic region,2011,150.0,688.0,834.5,146.5,14.589423779981308,0.013554562150187355
Khachmaz district,2011,194.0,906.0,1194.9,288.9000000000001,23.068847414088395,0.014059041344082868
Guba district,2011,104.0,412.0,531.0,119.0,10.930541575349082,0.017325893103010026
Gusar district,2011,152.0,662.0,833.3,171.29999999999995,21.022551297201733,0.02219604687322052
Siyazan district,2011,60.0,346.0,545.4,199.39999999999998,41.665667234390426,0.014215795846207246
Shabran district,2011,26.0,388.0,434.7,46.69999999999999,29.427161058637893,-0.011701332839504697
Lankaran-Astara economic region,2011,143.0,611.0,670.9,59.89999999999998,7.341453425977522,0.0035402795788510577
Astara district,2011,108.0,805.0,548.7,-256.29999999999995,32.53138924534094,-0.03509615298405655
Jalilabad district,2011,57.0,407.0,652.2,245.20000000000005,33.656650827548724,0.00906867194780192
Lerik district,2011,123.0,628.0,644.7,16.700000000000045,11.082810001810545,0.012233366084389186
Lankaran district,2011,166.0,731.0,763.3,32.299999999999955,10.396256816619212,0.0023838841357883833
Masalli district,2011,191.0,724.0,876.5,152.5,17.012922944087215,0.015624882959974995
Yardimli district,2011,120.0,446.0,641.9999999999999,195.9999999999999,25.491110982662857,0.012493688629332533
Central Aran economic region,2011,,0.0,560.4,560.4,5.813510909158861,
Mingachevir city,2011,7.0,354.0,54.0,-300.0,48.11406407751621,
Agdash district,2011,128.0,440.0,462.59999999999997,22.599999999999966,15.07923757346841,0.00680801028831679
Goychay district,2011,247.0,768.0,715.9999999999999,-52.000000000000114,44.98276642629173,0.00739549596839395
Kurdamir district,2011,73.0,310.0,707.5999999999999,397.5999999999999,32.310517872937154,0.06394665145966805
Ujar district,2011,87.0,266.0,498.7,232.7,20.093628217112414,0.04938336770303975
Yevlakh district,2011,126.0,435.0,426.7,-8.300000000000011,20.401768447786615,0.006997997758389829
Zardab district,2011,156.0,556.0,1075.6,519.5999999999999,43.61131684003292,0.05012151978198909
Mil-Mughan economic region,2011,,0.0,1407.5,1407.5,66.16499761271747,
Beylagan district,2011,166.0,448.0,1843.3,1395.3,108.92274477679189,0.06577241529602018
Imishli district,2011,105.0,436.0,658.0,222.0,19.12537581330103,0.023338982756220483
Saatli district,2011,164.0,311.0,651.9,340.9,44.66901931128424,0.04281491007098337
Sabirabad district,2011,123.0,456.0,731.5,275.5,21.582769143764743,0.02040336097737061
Shaki-Zagatala economic region,2011,97.0,430.0,556.4,126.39999999999998,10.010353336073782,0.010410424655590056
Balakan district,2011,88.0,556.0,566.1,10.100000000000023,21.34305329405902,-0.01388460395705493
Gakh district,2011,111.0,462.0,588.6,126.60000000000002,10.273012343450954,0.01139804291740254
Gabala district,2011,54.0,150.0,477.6,327.6,27.761009044852923,0.04987810991856079
Oghuz district,2011,75.0,351.0,569.0999999999999,218.0999999999999,25.778892261536065,0.008383410219044096
Shaki district,2011,196.0,753.0,1331.0,578.0,42.58961566296227,0.04397932964712159
Zagatala district,2011,64.0,382.0,314.4,-67.60000000000002,6.8293908740198,-0.013935613449717055
Eastern Zangazur economic region,2011,,0.0,759.2,759.2,22.057317525262594,
Jabrayil district,2011,145.0,0.0,784.6,784.6,20.480751125548757,
Lachin district,2011,202.0,0.0,829.0,829.0,108.6045604449949,
Zangilan district,2011,9.0,0.0,143.2,143.2,25.604473195499406,
Shirvan-Salyan economic region,2011,,0.0,693.4000000000001,693.4000000000001,19.70412508726397,
