Setting,year,tomato_area,first5_sum,last5_sum,growth,std_dev,cagr
Khojaly district,2003,1.0,17.0,77.0,60.0,7.206148168652336,
Khojavand district,2003,,6.0,58.5,52.5,4.351391187098431,
Shusha district,2003,,0.0,1.9,1.9,1.0457707031832377,
Tartar district,2003,177.0,793.0,1094.0,301.0,38.534639978347656,0.058298126291531194
Gazakh-Tovuz economic region,2003,2620.0,37667.0,11286.900000000001,-26380.1,2835.555216007151,-0.06649395153863802
Aghstafa district,2003,584.0,2378.0,671.0999999999999,-1706.9,197.12673142614022,-0.03328289195968637
Gadabay district,2003,,0.0,20.799999999999997,20.799999999999997,1.4519218033616423,
Gazakh district,2003,390.0,1740.0,1059.0,-681.0,73.70789144229785,-0.007030854291241173
Shamkir district,2003,1303.0,6185.0,8420.0,2235.0,289.45368018219165,0.024199718168611994
Tovuz district,2003,343.0,1743.0,1116.0,-627.0,112.40221998684463,-0.04483642749689809
Guba-Khachmaz economic region,2003,4249.0,21997.0,17272.1,-4724.9000000000015,462.7321194057207,-0.008660531619490541
Khachmaz district,2003,3182.0,16891.0,10134.5,-6756.5,570.2442530160441,-0.02631911859565872
Guba district,2003,280.0,1290.0,3947.0,2657.0,221.4831388550863,0.07210069466270741
Gusar district,2003,168.0,919.0,1678.0,759.0,62.799889227263144,0.04150416724882633
Siyazan district,2003,31.0,142.0,113.79999999999998,-28.200000000000017,21.912591509601658,-0.006619850501304314
Shabran district,2003,588.0,2755.0,1398.6999999999998,-1356.3000000000002,153.24486367494873,-0.0367750063594986
Lankaran-Astara economic region,2003,4337.0,22436.0,11879.9,-10556.1,1052.7325385220329,-0.024827012171377283
Astara district,2003,731.0,2806.0,2257.5,-548.5,220.3389177552078,0.014942462709405024
Jalilabad district,2003,332.0,1642.0,144.0,-1498.0,142.8395205228175,-0.10840351785108127
Lerik district,2003,21.0,143.0,179.5,36.5,13.204066539835589,-0.021537521290609818
Lankaran district,2003,2451.0,13476.0,6634.900000000001,-6841.099999999999,651.1641257605768,-0.03189098285697378
Masalli district,2003,788.0,4230.0,2568.0,-1662.0,174.11752652584477,-0.01809460469205315
Yardimli district,2003,14.0,139.0,96.0,-43.0,7.024924570227875,-0.020529279261477296
Central Aran economic region,2003,3761.0,16641.0,11223.8,-5417.200000000001,998.7621046771501,-0.00802749053202123
Mingachevir city,2003,1.0,25.0,20.8,-4.199999999999999,3.6876900589684176,-0.07534959804662866
Agdash district,2003,1175.0,5275.0,1616.5,-3658.5,556.4650533807653,-0.04792013680887808
Goychay district,2003,643.0,2870.0,1391.8999999999999,-1478.1000000000001,180.1874301439589,-0.015694812102095224
Kurdamir district,2003,1092.0,4561.0,3379.0,-1182.0,303.12648230625166,-0.006177763939509084
Ujar district,2003,629.0,2817.0,4154.0,1337.0,114.14914442917672,0.027801395528767037
Yevlakh district,2003,211.0,1008.0,528.3,-479.70000000000005,111.99188756528208,0.00010856590148522471
Zardab district,2003,10.0,85.0,133.1,48.099999999999994,12.844656448319757,0.017621038691595148
Mil-Mughan economic region,2003,1469.0,6453.0,7303.1,850.1000000000004,232.1659282555337,0.015876833173831928
Beylagan district,2003,196.0,887.0,1552.0,665.0,88.45533344288944,0.0448917062442602
Imishli district,2003,382.0,1503.0,262.59999999999997,-1240.4,116.02656242604878,-0.0682616537078441
Saatli district,2003,309.0,1201.0,998.4000000000001,-202.5999999999999,45.35500787267526,0.0083050246217109
Sabirabad district,2003,582.0,2862.0,4490.1,1628.1000000000004,217.50954597575648,0.026021409300897025
Shaki-Zagatala economic region,2003,1448.0,6753.0,6894.8,141.80000000000018,194.56514649824635,0.008796411506372781
Balakan district,2003,305.0,1430.0,2090.0,660.0,54.854336094841194,0.022349730866448425
Gakh district,2003,127.0,572.0,596.6,24.600000000000023,28.55143718304547,0.007879920712351218
Gabala district,2003,370.0,1903.0,445.0,-1458.0,148.6753100756375,-0.06014349725727508
Oghuz district,2003,55.0,276.0,273.3,-2.6999999999999886,10.80879187902413,0.011058046390672205
Shaki district,2003,220.0,965.0,1052.9,87.90000000000009,42.49468317126375,0.007822223431208197
Zagatala district,2003,371.0,1607.0,2437.0,830.0,72.64803726764116,0.03937166940483894
Eastern Zangazur economic region,2003,,0.0,170.89999999999998,170.89999999999998,11.418911329356773,
Jabrayil district,2003,,0.0,160.39999999999998,160.39999999999998,8.654555640432,
Kalbajar district,2003,,0.0,0.0,0.0,,
Gubadli district,2003,,0.0,0.4,0.4,0.7931525131340813,
Lachin district,2003,,0.0,2.0,2.0,1.9436506316151,
Zangilan district,2003,,0.0,8.1,8.1,0.38686776379877746,
Shirvan-Salyan economic region,2003,1386.0,7205.0,7121.599999999999,-83.40000000000055,434.3648366343065,0.017122563482900865
Shirvan city,2003,30.0,81.0,143.1,62.099999999999994,8.4342630666977,0.16760125308875695
Bilasuvar district,2003,624.0,2697.0,3391.8,694.8000000000002,345.41491359846043,0.028332309918102982
Hajigabul district,2003,311.0,1466.0,714.6,-751.4,81.55059734628699,-0.02648057370373591
Neftchala district,2003,72.0,342.0,177.1,-164.9,14.767722710627087,-0.025719176986063408
Salyan district,2003,349.0,2619.0,2695.1,76.09999999999991,125.44740446191737,0.025796422360447213
*  It is not included sown area of covered lands in 2000-2007,2003,,0.0,0.0,0.0,,
Republic of Azerbaijan,2004,25003.0,113343.0,96931.79999999999,-16411.20000000001,3072.8307499715984,-0.0027193803171119413
Baku city,2004,140.0,440.0,2842.6000000000004,2402.6000000000004,205.30857564136002,0.16380513631000082
Nakhchivan Autonomous Republic,2004,2190.0,9735.0,9624.2,-110.79999999999927,398.10981625313065,-0.044928074981165245
Nakhchivan city,2004,,0.0,522.0,522.0,40.31347753032769,
Babak district,2004,965.0,4217.0,2992.0,-1225.0,178.68675023667794,-0.06723830747989479
Julfa district,2004,122.0,519.0,388.0,-131.0,62.744001965197405,-0.060857038093838134
Kangarli district,2004,102.0,102.0,453.0,351.0,25.070637050247907,
Ordubad district,2004,304.0,1275.0,1128.0,-147.0,63.167694343672636,-0.1634721023193737
Sadarak district,2004,105.0,350.0,625.0,275.0,44.29035865247896,0.07162669826511658
Shahbuz district,2004,99.0,404.0,213.0,-191.0,27.895638846720587,-0.11416221390986825
Sharur district,2004,493.0,2868.0,3303.0,435.0,104.49914187290685,-0.02909702307446771
Absheron-Khizi economic region,2004,172.0,678.0,2404.1,1726.1,151.23481879734794,0.07090549714633365
Sumgayit city,2004,6.0,29.0,51.0,22.0,9.717662837045376,0.02245828366300695
Absheron district,2004,103.0,378.0,2231.1,1853.1,162.7737074498106,0.10632049029389545
Khizi district,2004,63.0,271.0,122.0,-149.0,15.416852721164815,-0.042307333326032426
Daghlig Shirvan economic region,2004,401.0,1702.0,1567.0,-135.0,71.07519594247258,0.01380440421051743
Aghsu district,2004,64.0,287.0,466.50000000000006,179.50000000000006,18.19578257792691,0.037892817924763955
Ismayilli district,2004,140.0,484.0,786.0,302.0,27.564417306543508,0.05222108527822855
Gobustan district,2004,101.0,454.0,145.0,-309.0,40.09707423639337,-0.03206172730271706
Shamakhi district,2004,96.0,477.0,169.5,-307.5,32.71183111547772,-0.031058350123964185
Ganja-Dashkasan economic region,2004,585.0,2438.0,2239.3,-198.69999999999982,308.0310077265185,0.00040579219960013013
Ganja city,2004,1.0,6.0,9.1,3.0999999999999996,4.736383993441973,
Naftalan city,2004,,0.0,10.7,10.7,1.0371311516105501,
Dashkasan district,2004,,0.0,0.0,0.0,,
Goranboy district,2004,260.0,1027.0,1085.2,58.200000000000045,241.61280919110516,0.010823539988885633
Goygol district,2004,143.0,694.0,471.9,-222.10000000000002,31.165434855142724,-0.007794308198162514
Samukh district,2004,181.0,711.0,662.4,-48.60000000000002,50.36237308932539,-0.006855696325977267
Karabakh economic region,2004,1109.0,4819.0,5101.8,282.8000000000002,195.7247010895681,0.016156131817785413
Khankandi city,2004,,0.0,0.0,0.0,,
Aghjabadi district,2004,146.0,583.0,235.9,-347.1,36.29614079976716,-0.02869921546223242
Aghdam district,2004,72.0,525.0,1610.0,1085.0,133.30250549413725,0.061841273615441894
Aghdara district,2004,,0.0,0.0,0.0,,
Barda district,2004,400.0,1980.0,981.0,-999.0,116.6115811982893,-0.045886005747582836
Fuzuli district,2004,310.0,915.0,1043.5,128.5,53.33619359404502,0.052188902341125276
Khojaly district,2004,16.0,17.0,77.0,60.0,7.206148168652336,
Khojavand district,2004,6.0,6.0,58.5,52.5,4.351391187098431,
Shusha district,2004,,0.0,1.9,1.9,1.0457707031832377,
Tartar district,2004,159.0,793.0,1094.0,301.0,38.534639978347656,0.058298126291531194
Gazakh-Tovuz economic region,2004,2662.0,37667.0,11286.900000000001,-26380.1,2835.555216007151,-0.06649395153863802
Aghstafa district,2004,588.0,2378.0,671.0999999999999,-1706.9,197.12673142614022,-0.03328289195968637
Gadabay district,2004,,0.0,20.799999999999997,20.799999999999997,1.4519218033616423,
Gazakh district,2004,391.0,1740.0,1059.0,-681.0,73.70789144229785,-0.007030854291241173
Shamkir district,2004,1343.0,6185.0,8420.0,2235.0,289.45368018219165,0.024199718168611994
Tovuz district,2004,340.0,1743.0,1116.0,-627.0,112.40221998684463,-0.04483642749689809
Guba-Khachmaz economic region,2004,4093.0,21997.0,17272.1,-4724.9000000000015,462.7321194057207,-0.008660531619490541
Khachmaz district,2004,3045.0,16891.0,10134.5,-6756.5,570.2442530160441,-0.02631911859565872
Guba district,2004,272.0,1290.0,3947.0,2657.0,221.4831388550863,0.07210069466270741
Gusar district,2004,187.0,919.0,1678.0,759.0,62.799889227263144,0.04150416724882633
Siyazan district,2004,34.0,142.0,113.79999999999998,-28.200000000000017,21.912591509601658,-0.006619850501304314
Shabran district,2004,555.0,2755.0,1398.6999999999998,-1356.3000000000002,153.24486367494873,-0.0367750063594986
Lankaran-Astara economic region,2004,5188.0,22436.0,11879.9,-10556.1,1052.7325385220329,-0.024827012171377283
Astara district,2004,776.0,2806.0,2257.5,-548.5,220.3389177552078,0.014942462709405024
Jalilabad district,2004,331.0,1642.0,144.0,-1498.0,142.8395205228175,-0.10840351785108127
Lerik district,2004,23.0,143.0,179.5,36.5,13.204066539835589,-0.021537521290609818
Lankaran district,2004,3161.0,13476.0,6634.900000000001,-6841.099999999999,651.1641257605768,-0.03189098285697378
Masalli district,2004,864.0,4230.0,2568.0,-1662.0,174.11752652584477,-0.01809460469205315
Yardimli district,2004,33.0,139.0,96.0,-43.0,7.024924570227875,-0.020529279261477296
Central Aran economic region,2004,4100.0,16641.0,11223.8,-5417.200000000001,998.7621046771501,-0.00802749053202123
Mingachevir city,2004,1.0,25.0,20.8,-4.199999999999999,3.6876900589684176,-0.07534959804662866
Agdash district,2004,1204.0,5275.0,1616.5,-3658.5,556.4650533807653,-0.04792013680887808
Goychay district,2004,649.0,2870.0,1391.8999999999999,-1478.1000000000001,180.1874301439589,-0.015694812102095224
Kurdamir district,2004,1212.0,4561.0,3379.0,-1182.0,303.12648230625166,-0.006177763939509084
Ujar district,2004,743.0,2817.0,4154.0,1337.0,114.14914442917672,0.027801395528767037
Yevlakh district,2004,281.0,1008.0,528.3,-479.70000000000005,111.99188756528208,0.00010856590148522471
Zardab district,2004,10.0,85.0,133.1,48.099999999999994,12.844656448319757,0.017621038691595148
Mil-Mughan economic region,2004,1182.0,6453.0,7303.1,850.1000000000004,232.1659282555337,0.015876833173831928
Beylagan district,2004,195.0,887.0,1552.0,665.0,88.45533344288944,0.0448917062442602
Imishli district,2004,310.0,1503.0,262.59999999999997,-1240.4,116.02656242604878,-0.0682616537078441
Saatli district,2004,250.0,1201.0,998.4000000000001,-202.5999999999999,45.35500787267526,0.0083050246217109
Sabirabad district,2004,427.0,2862.0,4490.1,1628.1000000000004,217.50954597575648,0.026021409300897025
Shaki-Zagatala economic region,2004,1644.0,6753.0,6894.8,141.80000000000018,194.56514649824635,0.008796411506372781
Balakan district,2004,325.0,1430.0,2090.0,660.0,54.854336094841194,0.022349730866448425
Gakh district,2004,132.0,572.0,596.6,24.600000000000023,28.55143718304547,0.007879920712351218
Gabala district,2004,436.0,1903.0,445.0,-1458.0,148.6753100756375,-0.06014349725727508
Oghuz district,2004,79.0,276.0,273.3,-2.6999999999999886,10.80879187902413,0.011058046390672205
Shaki district,2004,254.0,965.0,1052.9,87.90000000000009,42.49468317126375,0.007822223431208197
Zagatala district,2004,418.0,1607.0,2437.0,830.0,72.64803726764116,0.03937166940483894
Eastern Zangazur economic region,2004,,0.0,170.89999999999998,170.89999999999998,11.418911329356773,
Jabrayil district,2004,,0.0,160.39999999999998,160.39999999999998,8.654555640432,
Kalbajar district,2004,,0.0,0.0,0.0,,
Gubadli district,2004,,0.0,0.4,0.4,0.7931525131340813,
Lachin district,2004,,0.0,2.0,2.0,1.9436506316151,
Zangilan district,2004,,0.0,8.1,8.1,0.38686776379877746,
Shirvan-Salyan economic region,2004,1537.0,7205.0,7121.599999999999,-83.40000000000055,434.3648366343065,0.017122563482900865
Shirvan city,2004,30.0,81.0,143.1,62.099999999999994,8.4342630666977,0.16760125308875695
Bilasuvar district,2004,590.0,2697.0,3391.8,694.8000000000002,345.41491359846043,0.028332309918102982
Hajigabul district,2004,319.0,1466.0,714.6,-751.4,81.55059734628699,-0.02648057370373591
Neftchala district,2004,74.0,342.0,177.1,-164.9,14.767722710627087,-0.025719176986063408
Salyan district,2004,524.0,2619.0,2695.1,76.09999999999991,125.44740446191737,0.025796422360447213
*  It is not included sown area of covered lands in 2000-2007,2004,,0.0,0.0,0.0,,
Republic of Azerbaijan,2005,25171.0,113343.0,96931.79999999999,-16411.20000000001,3072.8307499715984,-0.0027193803171119413
Baku city,2005,140.0,440.0,2842.6000000000004,2402.6000000000004,205.30857564136002,0.16380513631000082
Nakhchivan Autonomous Republic,2005,2206.0,9735.0,9624.2,-110.79999999999927,398.10981625313065,-0.044928074981165245
Nakhchivan city,2005,,0.0,522.0,522.0,40.31347753032769,
Babak district,2005,987.0,4217.0,2992.0,-1225.0,178.68675023667794,-0.06723830747989479
Julfa district,2005,146.0,519.0,388.0,-131.0,62.744001965197405,-0.060857038093838134
Kangarli district,2005,55.0,102.0,453.0,351.0,25.070637050247907,
Ordubad district,2005,304.0,1275.0,1128.0,-147.0,63.167694343672636,-0.1634721023193737
Sadarak district,2005,115.0,350.0,625.0,275.0,44.29035865247896,0.07162669826511658
Shahbuz district,2005,100.0,404.0,213.0,-191.0,27.895638846720587,-0.11416221390986825
Sharur district,2005,499.0,2868.0,3303.0,435.0,104.49914187290685,-0.02909702307446771
Absheron-Khizi economic region,2005,171.0,678.0,2404.1,1726.1,151.23481879734794,0.07090549714633365
Sumgayit city,2005,17.0,29.0,51.0,22.0,9.717662837045376,0.02245828366300695
Absheron district,2005,93.0,378.0,2231.1,1853.1,162.7737074498106,0.10632049029389545
Khizi district,2005,61.0,271.0,122.0,-149.0,15.416852721164815,-0.042307333326032426
Daghlig Shirvan economic region,2005,417.0,1702.0,1567.0,-135.0,71.07519594247258,0.01380440421051743
Aghsu district,2005,66.0,287.0,466.50000000000006,179.50000000000006,18.19578257792691,0.037892817924763955
Ismayilli district,2005,143.0,484.0,786.0,302.0,27.564417306543508,0.05222108527822855
Gobustan district,2005,111.0,454.0,145.0,-309.0,40.09707423639337,-0.03206172730271706
Shamakhi district,2005,97.0,477.0,169.5,-307.5,32.71183111547772,-0.031058350123964185
Ganja-Dashkasan economic region,2005,629.0,2438.0,2239.3,-198.69999999999982,308.0310077265185,0.00040579219960013013
Ganja city,2005,9.0,6.0,9.1,3.0999999999999996,4.736383993441973,
Naftalan city,2005,,0.0,10.7,10.7,1.0371311516105501,
Dashkasan district,2005,,0.0,0.0,0.0,,
Goranboy district,2005,263.0,1027.0,1085.2,58.200000000000045,241.61280919110516,0.010823539988885633
Goygol district,2005,146.0,694.0,471.9,-222.10000000000002,31.165434855142724,-0.007794308198162514
Samukh district,2005,211.0,711.0,662.4,-48.60000000000002,50.36237308932539,-0.006855696325977267
Karabakh economic region,2005,957.0,4819.0,5101.8,282.8000000000002,195.7247010895681,0.016156131817785413
Khankandi city,2005,,0.0,0.0,0.0,,
Aghjabadi district,2005,118.0,583.0,235.9,-347.1,36.29614079976716,-0.02869921546223242
Aghdam district,2005,100.0,525.0,1610.0,1085.0,133.30250549413725,0.061841273615441894
Aghdara district,2005,,0.0,0.0,0.0,,
Barda district,2005,420.0,1980.0,981.0,-999.0,116.6115811982893,-0.045886005747582836
Fuzuli district,2005,151.0,915.0,1043.5,128.5,53.33619359404502,0.052188902341125276
Khojaly district,2005,26.0,17.0,77.0,60.0,7.206148168652336,
Khojavand district,2005,7.0,6.0,58.5,52.5,4.351391187098431,
Shusha district,2005,,0.0,1.9,1.9,1.0457707031832377,
Tartar district,2005,135.0,793.0,1094.0,301.0,38.534639978347656,0.058298126291531194
Gazakh-Tovuz economic region,2005,2210.0,37667.0,11286.900000000001,-26380.1,2835.555216007151,-0.06649395153863802
Aghstafa district,2005,238.0,2378.0,671.0999999999999,-1706.9,197.12673142614022,-0.03328289195968637
Gadabay district,2005,,0.0,20.799999999999997,20.799999999999997,1.4519218033616423,
Gazakh district,2005,382.0,1740.0,1059.0,-681.0,73.70789144229785,-0.007030854291241173
Shamkir district,2005,1298.0,6185.0,8420.0,2235.0,289.45368018219165,0.024199718168611994
Tovuz district,2005,292.0,1743.0,1116.0,-627.0,112.40221998684463,-0.04483642749689809
Guba-Khachmaz economic region,2005,4207.0,21997.0,17272.1,-4724.9000000000015,462.7321194057207,-0.008660531619490541
Khachmaz district,2005,3042.0,16891.0,10134.5,-6756.5,570.2442530160441,-0.02631911859565872
Guba district,2005,274.0,1290.0,3947.0,2657.0,221.4831388550863,0.07210069466270741
Gusar district,2005,214.0,919.0,1678.0,759.0,62.799889227263144,0.04150416724882633
Siyazan district,2005,38.0,142.0,113.79999999999998,-28.200000000000017,21.912591509601658,-0.006619850501304314
Shabran district,2005,639.0,2755.0,1398.6999999999998,-1356.3000000000002,153.24486367494873,-0.0367750063594986
Lankaran-Astara economic region,2005,5411.0,22436.0,11879.9,-10556.1,1052.7325385220329,-0.024827012171377283
Astara district,2005,944.0,2806.0,2257.5,-548.5,220.3389177552078,0.014942462709405024
Jalilabad district,2005,331.0,1642.0,144.0,-1498.0,142.8395205228175,-0.10840351785108127
Lerik district,2005,25.0,143.0,179.5,36.5,13.204066539835589,-0.021537521290609818
Lankaran district,2005,3194.0,13476.0,6634.900000000001,-6841.099999999999,651.1641257605768,-0.03189098285697378
Masalli district,2005,883.0,4230.0,2568.0,-1662.0,174.11752652584477,-0.01809460469205315
